COG	GC127836	GC127826	GC127844	GC127827	GC127837	GC127845	GC127855	GC127871	GC127868	GC127847	GC127835	GC127825	GC127846	GC127856	GC127834	GC125610	GC127828	GC127838	GC127853	GC127843	GC127831	GC127852	GC127830	GC125618	GC127839	GC127829	GC125611	GC127864	GC127874	GC127832	GC127840	GC127849	GC127866	GC127848	GC125612	GC127867	GC127833	GC127841
COG1330	43717.0	17607.0	39568.0	25965.0	30797.0	15560.0	5349.0	677.0	241.0	5197.0	46188.0	8752.0	11486.0	158.0	20574.0	12549.0	13833.0	75866.0	4952.0	29252.0	77788.0	291.0	44669.0	0.0	49270.0	28252.0	21495.0	26911.0	1139.0	31196.0	23368.0	9862.0	3311.0	9942.0	39889.0	3390.0	37182.0	27668.0
2DM7C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COG1960	287186.0	269721.0	256384.0	193525.0	161151.0	114979.0	61284.0	6037.0	10851.0	28379.0	254499.0	53971.0	66302.0	8477.0	228715.0	86020.0	100666.0	367573.0	39576.0	303355.0	167474.0	10876.0	227741.0	10955.0	267736.0	188890.0	144738.0	342430.0	11085.0	228173.0	143676.0	54676.0	38283.0	55883.0	343430.0	31564.0	279806.0	161406.0
COG0642	306042.0	223473.0	319845.0	186773.0	162739.0	117146.0	186569.0	8781.0	7714.0	63452.0	290088.0	49465.0	106846.0	2868.0	203100.0	82568.0	95781.0	465473.0	87540.0	300256.0	739915.0	10143.0	275350.0	22162.0	326773.0	170639.0	166322.0	138739.0	18154.0	241481.0	141342.0	129814.0	65600.0	142870.0	350683.0	83464.0	309378.0	179247.0
COG0265	147479.0	176707.0	144287.0	113063.0	76988.0	65080.0	21287.0	906.0	800.0	16327.0	119199.0	27959.0	46326.0	2201.0	157261.0	42988.0	58276.0	174241.0	7977.0	174356.0	97244.0	1842.0	120189.0	1444.0	136174.0	104007.0	96897.0	59983.0	2050.0	139297.0	72929.0	21475.0	8199.0	23775.0	178572.0	8371.0	139786.0	75177.0
COG5642	777.0	186.0	1260.0	409.0	281.0	330.0	253.0	48.0	87.0	0.0	486.0	59.0	24.0	0.0	408.0	94.0	229.0	1210.0	311.0	417.0	4574.0	58.0	785.0	0.0	739.0	249.0	595.0	0.0	134.0	689.0	138.0	28.0	86.0	41.0	358.0	35.0	1055.0	288.0
COG0372	32085.0	57787.0	22267.0	27118.0	15307.0	15923.0	4341.0	373.0	530.0	2678.0	22643.0	5693.0	7438.0	855.0	41975.0	8596.0	14364.0	33897.0	3284.0	50839.0	22996.0	1349.0	14554.0	2155.0	20929.0	24164.0	20955.0	23081.0	1458.0	27497.0	15010.0	3536.0	2404.0	3552.0	45953.0	1588.0	32968.0	14005.0
COG0187	102452.0	96595.0	86211.0	70509.0	55991.0	39703.0	45353.0	13540.0	5416.0	10289.0	90272.0	20504.0	22053.0	4291.0	97995.0	29254.0	35861.0	135348.0	16594.0	105377.0	130144.0	5710.0	81667.0	7708.0	92718.0	65739.0	58852.0	19819.0	24460.0	90524.0	51157.0	18303.0	12722.0	16939.0	110620.0	18663.0	95139.0	57820.0
COG0578	34085.0	14345.0	30223.0	22969.0	23629.0	15513.0	26738.0	642.0	1162.0	2677.0	37456.0	6784.0	6316.0	1258.0	17157.0	12667.0	9418.0	64979.0	3704.0	31051.0	31689.0	1058.0	31464.0	3467.0	39647.0	22432.0	14574.0	28821.0	1467.0	23536.0	19531.0	6137.0	4808.0	6142.0	38377.0	10324.0	32369.0	23058.0
COG0559	109097.0	66068.0	99620.0	65956.0	69257.0	41258.0	24733.0	1322.0	1007.0	10116.0	113525.0	24939.0	16432.0	586.0	63362.0	34363.0	32737.0	177116.0	12827.0	96636.0	51104.0	1495.0	102989.0	717.0	124224.0	74367.0	48178.0	35486.0	2999.0	75478.0	56963.0	23207.0	12991.0	23008.0	118490.0	13055.0	98254.0	69306.0
COG1087	34250.0	42288.0	24269.0	25573.0	15076.0	15409.0	3679.0	355.0	40.0	2046.0	23845.0	6182.0	3279.0	1420.0	35184.0	9955.0	13145.0	25486.0	2326.0	39831.0	49014.0	1271.0	18970.0	850.0	25143.0	24612.0	20465.0	13683.0	765.0	28039.0	14294.0	2811.0	3051.0	2751.0	44084.0	2226.0	32044.0	14818.0
COG1861	769.0	474.0	1662.0	824.0	542.0	726.0	51.0	0.0	54.0	4.0	777.0	52.0	103.0	0.0	479.0	303.0	138.0	1320.0	418.0	743.0	748.0	0.0	1474.0	0.0	1482.0	1004.0	268.0	0.0	0.0	819.0	265.0	131.0	0.0	132.0	1011.0	0.0	862.0	423.0
COG1887	907.0	645.0	2220.0	1289.0	692.0	931.0	2117.0	0.0	0.0	1654.0	1046.0	34.0	1116.0	0.0	624.0	375.0	283.0	1840.0	530.0	1325.0	682.0	12.0	1765.0	23.0	1860.0	1141.0	318.0	12620.0	0.0	1424.0	413.0	1514.0	0.0	1487.0	1358.0	834.0	1461.0	652.0
